unicode,gb2312,Chinese,stroke number,id
0x82D1,0xD4B7,苑,8,3406
0x613F,0xD4B8,愿,14,3407
0x6028,0xD4B9,怨,9,3408
0x9662,0xD4BA,院,9,3409
0x66F0,0xD4BB,曰,4,3410
0x7EA6,0xD4BC,约,6,3411
0x8D8A,0xD4BD,越,12,3412
0x8DC3,0xD4BE,跃,11,3413
0x94A5,0xD4BF,钥,9,3414
0x5CB3,0xD4C0,岳,8,3415
0x7CA4,0xD4C1,粤,12,3416
0x6708,0xD4C2,月,4,3417
0x60A6,0xD4C3,悦,10,3418
0x9605,0xD4C4,阅,10,3419
0x8018,0xD4C5,耘,10,3420
0x4E91,0xD4C6,云,4,3421
0x90E7,0xD4C7,郧,9,3422
0x5300,0xD4C8,匀,4,3423
0x9668,0xD4C9,陨,9,3424
0x5141,0xD4CA,允,4,3425
0x8FD0,0xD4CB,运,7,3426
0x8574,0xD4CC,蕴,15,3427
0x915D,0xD4CD,酝,11,3428
0x6655,0xD4CE,晕,10,3429
0x97F5,0xD4CF,韵,13,3430
0x5B55,0xD4D0,孕,5,3431
0x531D,0xD4D1,匝,5,3432
0x7838,0xD4D2,砸,10,3433
0x6742,0xD4D3,杂,6,3434
0x683D,0xD4D4,栽,10,3435
0x54C9,0xD4D5,哉,9,3436
0x707E,0xD4D6,灾,7,3437
0x5BB0,0xD4D7,宰,10,3438
0x8F7D,0xD4D8,载,10,3439
0x518D,0xD4D9,再,6,3440
0x5728,0xD4DA,在,6,3441
0x54B1,0xD4DB,咱,9,3442
0x6512,0xD4DC,攒,19,3443
0x6682,0xD4DD,暂,12,3444
0x8D5E,0xD4DE,赞,16,3445
0x8D43,0xD4DF,赃,10,3446
0x810F,0xD4E0,脏,10,3447
0x846C,0xD4E1,葬,12,3448
0x906D,0xD4E2,遭,14,3449
0x7CDF,0xD4E3,糟,17,3450
0x51FF,0xD4E4,凿,12,3451
0x85FB,0xD4E5,藻,19,3452
0x67A3,0xD4E6,枣,8,3453
0x65E9,0xD4E7,早,6,3454
0x6FA1,0xD4E8,澡,16,3455
0x86A4,0xD4E9,蚤,9,3456
0x8E81,0xD4EA,躁,20,3457
0x566A,0xD4EB,噪,16,3458
0x9020,0xD4EC,造,10,3459
0x7682,0xD4ED,皂,7,3460
0x7076,0xD4EE,灶,7,3461
0x71E5,0xD4EF,燥,17,3462
0x8D23,0xD4F0,责,8,3463
0x62E9,0xD4F1,择,8,3464
0x5219,0xD4F2,则,6,3465
0x6CFD,0xD4F3,泽,8,3466
0x8D3C,0xD4F4,贼,10,3467
0x600E,0xD4F5,怎,9,3468
0x589E,0xD4F6,增,15,3469
0x618E,0xD4F7,憎,15,3470
0x66FE,0xD4F8,曾,12,3471
0x8D60,0xD4F9,赠,16,3472
0x624E,0xD4FA,扎,4,3473
0x55B3,0xD4FB,喳,12,3474
0x6E23,0xD4FC,渣,12,3475
0x672D,0xD4FD,札,5,3476
0x8F67,0xD4FE,轧,5,3477
0x94E1,0xD5A1,铡,11,3478
0x95F8,0xD5A2,闸,8,3479
0x7728,0xD5A3,眨,9,3480
0x6805,0xD5A4,栅,9,3481
0x69A8,0xD5A5,榨,14,3482
0x548B,0xD5A6,咋,8,3483
0x4E4D,0xD5A7,乍,5,3484
0x70B8,0xD5A8,炸,9,3485
0x8BC8,0xD5A9,诈,7,3486
0x6458,0xD5AA,摘,14,3487
0x658B,0xD5AB,斋,10,3488
0x5B85,0xD5AC,宅,6,3489
0x7A84,0xD5AD,窄,10,3490
0x503A,0xD5AE,债,10,3491
0x5BE8,0xD5AF,寨,14,3492
0x77BB,0xD5B0,瞻,18,3493
0x6BE1,0xD5B1,毡,9,3494
0x8A79,0xD5B2,詹,13,3495
0x7C98,0xD5B3,粘,11,3496
0x6CBE,0xD5B4,沾,8,3497
0x76CF,0xD5B5,盏,10,3498
0x65A9,0xD5B6,斩,8,3499
0x8F97,0xD5B7,辗,14,3500
0x5D2D,0xD5B8,崭,11,3501
0x5C55,0xD5B9,展,10,3502
0x8638,0xD5BA,蘸,22,3503
0x6808,0xD5BB,栈,9,3504
0x5360,0xD5BC,占,5,3505
0x6218,0xD5BD,战,9,3506
0x7AD9,0xD5BE,站,10,3507
0x6E5B,0xD5BF,湛,12,3508
0x7EFD,0xD5C0,绽,11,3509
0x6A1F,0xD5C1,樟,15,3510
0x7AE0,0xD5C2,章,11,3511
0x5F70,0xD5C3,彰,14,3512
0x6F33,0xD5C4,漳,14,3513
0x5F20,0xD5C5,张,7,3514
0x638C,0xD5C6,掌,12,3515
0x6DA8,0xD5C7,涨,10,3516
0x6756,0xD5C8,杖,7,3517
0x4E08,0xD5C9,丈,3,3518
0x5E10,0xD5CA,帐,7,3519
0x8D26,0xD5CB,账,8,3520
0x4ED7,0xD5CC,仗,5,3521
0x80C0,0xD5CD,胀,8,3522
0x7634,0xD5CE,瘴,16,3523
0x969C,0xD5CF,障,13,3524
0x62DB,0xD5D0,招,8,3525
0x662D,0xD5D1,昭,9,3526
0x627E,0xD5D2,找,7,3527
0x6CBC,0xD5D3,沼,8,3528
0x8D75,0xD5D4,赵,9,3529
0x7167,0xD5D5,照,13,3530
0x7F69,0xD5D6,罩,13,3531
0x5146,0xD5D7,兆,6,3532
0x8087,0xD5D8,肇,14,3533
0x53EC,0xD5D9,召,5,3534
0x906E,0xD5DA,遮,14,3535
0x6298,0xD5DB,折,7,3536
0x54F2,0xD5DC,哲,10,3537
0x86F0,0xD5DD,蛰,12,3538
0x8F99,0xD5DE,辙,16,3539
0x8005,0xD5DF,者,8,3540
0x9517,0xD5E0,锗,13,3541
0x8517,0xD5E1,蔗,14,3542
0x8FD9,0xD5E2,这,7,3543
0x6D59,0xD5E3,浙,10,3544
0x73CD,0xD5E4,珍,9,3545
0x659F,0xD5E5,斟,13,3546
